100,123,0.6578528,23
77,106,0.04072896,29
94,123,0.79261655,29
74,105,0.0295618,31
76,107,0.07025658,31
86,119,0.22690223,33
90,123,0.5236333,33
67,104,0.02511784,37
95,132,0.8431649,37
71,109,0.05056548,38
87,127,0.6095339,40
72,115,0.10712575,43
75,118,0.18485616,43
93,137,0.85881597,44
101,145,0.8744689,44
79,125,0.2181545,46
93,142,0.7097576,49
86,136,0.77879363,50
59,110,0.04511281,51
60,111,0.03939235,51
61,112,0.02569518,51
66,117,0.03151362,51
84,135,0.52072597,51
89,140,0.6864579,51
98,149,0.98131,51
60,112,0.08019916,52
79,131,0.5627343,52
54,107,0.01226591,53
61,114,0.04853925,53
73,126,0.18310149,53
54,108,0.02031481,54
57,111,0.01571227,54
58,113,0.02277639,55
59,114,0.05211578,55
59,114,0.12754,55
60,115,0.09015278,55
65,120,0.15573648,55
99,154,0.97136384,55
54,110,0.02593644,56
57,113,0.05076395,56
55,112,0.00744752,57
59,116,0.02542708,57
53,111,0.00931743,58
56,114,0.03447726,58
58,116,0.03767332,58
64,122,0.08254004,58
53,112,0.01852862,59
54,114,0.04250202,60
49,110,0.0159278,61
57,118,0.02479769,61
59,120,0.05971589,61
63,124,0.11530346,61
47,109,0.01206123,62
47,109,0.01703211,62
82,144,0.9396052,62
53,116,0.01473517,63
54,117,0.03386128,63
47,111,0.01692768,64
56,120,0.05139927,64
58,122,0.07896189,64
46,111,0.01308278,65
46,111,0.01388336,65
48,113,0.03567842,65
50,115,0.05457892,65
55,120,0.05015457,65
42,108,0.00576827,66
49,115,0.0480107,66
54,120,0.11692551,66
63,129,0.07867257,66
62,129,0.16792588,67
63,130,0.38969567,67
93,160,0.9482867,67
44,112,0.01266067,68
59,127,0.0387325,68
104,172,0.99567527,68
43,112,0.00877412,69
47,116,0.0190524,69
58,127,0.08741493,69
63,132,0.17664735,69
41,111,0.01268551,70
49,120,0.04136783,71
49,120,0.06971762,71
60,131,0.17395775,71
44,116,0.02024312,72
44,116,0.04748569,72
44,116,0.01758884,72
68,140,0.24986131,72
72,144,0.46791452,72
96,168,0.99614465,72
59,132,0.29597133,73
34,108,0.00425884,74
54,128,0.043206,74
68,142,0.57758605,74
101,175,0.99829143,74
35,110,0.00495684,75
67,142,0.6670857,75
39,115,0.02041543,76
58,134,0.28586227,76
70,146,0.85941833,76
62,139,0.30471832,77
98,175,0.98161894,77
88,166,0.98092604,78
94,172,0.9880535,78
97,175,0.9853741,78
31,111,0.00457449,80
40,120,0.03588971,80
32,113,0.00751509,81
33,114,0.00735284,81
41,122,0.03297644,81
42,123,0.0254531,81
50,131,0.09748741,81
30,112,0.01264697,82
44,126,0.18573192,82
72,155,0.7631755,83
97,180,0.9963188,83
98,181,0.99273926,83
29,113,0.00638473,84
31,115,0.00376331,84
76,160,0.9451683,84
29,114,0.00805792,85
53,138,0.09055066,85
94,179,0.99959904,85
28,114,0.00190144,86
28,115,0.00657088,87
32,119,0.00370676,87
92,179,0.9984281,87
97,184,0.9973686,87
75,163,0.6987392,88
89,177,0.9379639,88
97,185,0.9993278,88
99,187,0.99892044,88
75,164,0.963089,89
23,113,0.00183337,90
29,119,0.01254853,90
35,125,0.0404886,90
44,134,0.21636412,90
99,189,0.9983193,90
46,137,0.06563716,91
31,123,0.00406013,92
35,127,0.00462457,92
95,187,0.9963792,92
14,107,0.00111152,93
45,138,0.09111622,93
71,164,0.74564886,93
92,185,0.993658,93
31,125,0.0056754,94
35,129,0.01492839,94
45,139,0.07781114,94
22,117,0.00101282,95
52,147,0.3974231,95
59,155,0.7781344,96
85,181,0.9879403,96
90,186,0.9699173,96
94,190,0.99341244,96
104,200,0.9999727,96
30,127,0.02521306,97
53,150,0.2771188,97
58,155,0.24745232,97
81,178,0.9893227,97
87,184,0.9875092,97
90,187,0.99547595,97
40,138,0.06532355,98
60,158,0.908428,98
97,196,0.99700123,99
52,153,0.37607586,101
58,159,0.9126503,101
6,108,0.00061607,102
10,114,0.00240249,104
35,140,0.16414903,105
94,199,0.9996562,105
100,205,0.99957985,105
100,206,0.9999732,106
101,207,0.99986756,106
103,209,0.9999503,106
29,136,0.01913575,107
87,195,0.99378806,108
88,198,0.9998518,110
32,143,0.06099499,111
97,209,0.99939823,112
97,209,0.9997491,112
102,216,0.99999833,114
94,209,0.9998154,115
97,212,0.99988127,115
62,179,0.99559695,117
78,195,0.9994128,117
100,217,0.9999734,117
0,118,0.00028185,118
11,130,0.00166746,119
100,219,0.99866796,119
102,221,0.99987674,119
61,182,0.9356973,121
89,212,0.9998995,123
86,210,0.99828726,124
98,222,0.9999112,124
95,221,0.99965405,126
111,237,0.99999523,126
82,212,0.99957484,130
35,166,0.4121891,131
49,186,0.9860072,137
46,185,0.6627319,139
92,232,0.99994934,140
98,240,0.99999154,142
84,228,0.99995434,144
98,242,0.9998431,144
39,184,0.44685563,145
48,198,0.96043605,150
85,238,0.9999801,153
90,255,0.99781454,165
69,235,0.99974257,166
